entity,timestamp,Temperature,TemperatureSpectralScore,SaliencyAnomalyScore,TemperatureFFTScore,TemperatureKmeansScore,MatrixProfileAnomalyScore
MyRoom,2017-10-10 14:17:00,26.0,4.947213877345675,8.438061399763669,8.443456184489422,0.6859812635682563,0.3186887195995436
MyRoom,2017-10-10 14:18:00,26.0625,4.864084633263351,8.259677841446477,8.254983099875647,0.6650058717959426,0.29973947020704506
MyRoom,2017-10-10 14:19:00,26.0,4.780955389181028,8.23490763024673,8.245815168837913,0.6241462739179271,0.27950849718747384
MyRoom,2017-10-10 14:20:00,25.875,4.6978261450987056,8.881733782143826,8.897259183381824,0.5852614596107514,0.29973947020704506
MyRoom,2017-10-10 14:21:00,25.9375,4.637680147480711,12.440930009732496,12.453335401005909,0.5486954389719457,0.29973947020704494
MyRoom,2017-10-10 14:22:00,26.125,4.577534149862717,12.444665415675402,12.45975343727525,0.4854756638166592,0.3801726581436387
MyRoom,2017-10-10 14:23:00,25.9375,4.517388152244722,12.113353290349725,12.107846518745799,0.45267976461327014,0.3247595264191645
MyRoom,2017-10-10 14:24:00,25.9375,4.457242154626727,14.061640480903813,14.028156882776358,0.4545403017721255,0.375
MyRoom,2017-10-10 14:25:00,25.875,4.3970961570087335,13.750282229507494,13.763983024886185,0.4214908267619416,0.3801726581436387
MyRoom,2017-10-10 14:26:00,25.6875,4.336950159390739,13.422887372126294,13.420865405232906,0.39507769657510955,0.4192627457812106
MyRoom,2017-10-10 14:27:00,25.875,4.230718491060509,14.429553106150818,14.43511038116253,0.4167799031874799,0.4192627457812106
MyRoom,2017-10-10 14:28:00,25.875,4.12448682273028,16.16472558058884,16.177010858841157,0.46412587050134624,0.4881406047441659
MyRoom,2017-10-10 14:29:00,25.6875,4.01825515440005,16.310462112138232,16.30348945877123,0.5212397687765435,0.5303300858899106
MyRoom,2017-10-10 14:30:00,25.8125,3.91202348606982,18.173467803091857,18.16654681177192,0.5275734217202325,0.57282196186948
MyRoom,2017-10-10 14:31:00,25.875,3.80579181773959,20.29261277527261,20.22768105735351,0.6085035610580706,0.5448623679425842
