deviceid,TemperatureKmeansScore,TemperatureFFTScore,TemperatureSpectralScore,TemperatureGeneralizedScore,timestamp,Temperature
04714B60011A,1.1149517840667722,49.485025423088075,2.437364681955451,1990.2341030246168,01/20/2020 07:07,54.7,
04714B60011A,1.077083133463069,574.7686962587237,1.954653759288571,27964.87003960164,01/20/2020 07:11,,
04714B60011A,0.9586980032260894,70.2131313961089,1.2675952662194527,16403.392542857066,01/20/2020 07:12,54.4,
04714B60011A,1.0452734212180566,854.906996948882,1.0505700958004023,233211.494186209,01/20/2020 07:16,,
04714B60011A,1.1798114873073795,268.6857922149864,1.2586133910911075,43226.28986579544,01/20/2020 07:17,54.9,
04714B60011A,1.4231067491368086,3681.0099995235637,1.5410330683208397,619312.4235841018,01/20/2020 07:21,,
04714B60011A,1.655626440416802,124.8299199978683,1.7616424837734526,27260.156651899466,01/20/2020 07:22,55.3,
04714B60011A,1.7295419357630122,1615.9863470924458,1.4812739963635546,393384.0437273917,01/20/2020 07:26,,
04714B60011A,1.7563102714595085,62.97002732830248,1.0186501842188127,6657.280086407632,01/20/2020 07:27,55.5,
04714B60011A,1.658086630065212,727.4084942509795,0.21285635756250176,96646.9808734939,01/20/2020 07:31,,
04714B60011A,1.3069704146550898,38.037385188724436,-0.6621863997081325,6723.540624676634,01/20/2020 07:32,55.7,
04714B60011A,0.9863249674637714,406.71836514841453,-1.275296881240238,98368.05306822417,01/20/2020 07:36,,
04714B60011A,0.6642863015482474,16.048340282045015,-0.8469873151801863,1682.2026863753892,01/20/2020 07:37,55.8,
04714B60011A,0.5232710056660292,127.6460982836893,0.3878148211337331,24720.44869621596,01/20/2020 07:41,,
04714B60011A,0.4418174471756695,31.926996281604776,1.011451514994505,1838.361044830186,01/20/2020 07:42,55.7,
04714B60011A,0.5309221940618621,389.0531330127606,1.2459953835998632,27264.240935627433,01/20/2020 07:46,,
04714B60011A,0.6494296687595733,28.19687737729686,1.2861496894860172,6799.982045768462,01/20/2020 07:47,55.5,
04714B60011A,0.8066944724160403,327.4217608987656,1.2036388119154533,101855.4288935847,01/20/2020 07:51,,
04714B60011A,0.950059570483181,87.33429171350049,0.9934595253487077,14865.171577222714,01/20/2020 07:52,55.8,
04714B60011A,1.0662000077720164,1213.9464709142935,0.6069245097124121,224488.1223996585,01/20/2020 07:56,,
04714B60011A,1.045846052226416,48.76707730086823,0.09184956532435784,6628.538588080541,01/20/2020 07:57,56,
04714B60011A,0.9870660691397539,625.0207574494466,0.2734565222890941,100809.21237299395,01/20/2020 08:01,,
04714B60011A,0.9362036611724376,35.37249349421897,0.6740703881356485,1620.8037509796739,01/20/2020 08:02,56.1,
04714B60011A,0.7797116627599391,391.32768594064294,0.44587705642067554,24723.609762844746,01/20/2020 08:06,,
04714B60011A,0.5779667370463933,69.53042877572005,0.21522741907139764,6444.441551129081,01/20/2020 08:07,56.3,
04714B60011A,0.5425521950795616,937.4797150593051,0.28143780283696973,99532.1276165841,01/20/2020 08:11,,
04714B60011A,0.5676694091999087,77.41786105143268,0.5525000565338605,40070.831744764866,01/20/2020 08:12,55.8,
04714B60011A,0.5840196218904403,1076.5956659532599,0.7890415116917042,624554.7206339318,01/20/2020 08:16,,
04714B60011A,0.5911234204100919,46.255744821945896,0.8935815293139626,14372.033667511367,01/20/2020 08:17,56.1,
04714B60011A,0.6003303725310634,599.0160874692615,0.9217082178444111,225715.0814277447,01/20/2020 08:21,,
04714B60011A,0.6107633952528405,39.309565593818306,0.8272243104154802,14322.475765053845,01/20/2020 08:22,55.8,
04714B60011A,0.6283011690040978,493.403611608305,0.4964163392310441,226753.1035722567,01/20/2020 08:26,,
04714B60011A,0.6574373219020357,40.14787300218596,0.5031348138800853,6299.644652982729,01/20/2020 08:27,56,
04714B60011A,0.7575950396813147,479.4942866199471,0.7262297806228757,100433.13872449938,01/20/2020 08:31,,
04714B60011A,0.8379279558096694,56.634697355243055,0.6244623464223507,109.95908151089118,01/20/2020 08:32,56,
04714B60011A,0.9724403799311255,770.0345049351347,0.48196240200041274,1629.5918504646065,01/20/2020 08:36,,
04714B60011A,1.0912195802776001,81.43802450866164,0.22220441327189988,24467.938810227723,01/20/2020 08:37,56.4,
04714B60011A,1.1429066037033906,1180.3173730928834,-0.8192376174292004,397033.8267235478,01/20/2020 08:41,,
04714B60011A,0.9567367696438984,20.85033197626646,-3.0483262386743792,1498.4353949660501,01/20/2020 08:42,56.5,
04714B60011A,0.8193778079061805,216.36310772792902,-4.592980479768276,24399.072080628535,01/20/2020 08:46,,
