"ID","DEVICETYPE","DEVICEID","LOGICALINTERFACE_ID","EVENTTYPE","FORMAT","RCV_TIMESTAMP_UTC","UPDATED_UTC","SPEED","TEMPERATURE","HEAD","DEVICE_ID","PUMP_MODE","FLOW","WARN","KW_HOUR","VOLTAGE","ALARM","POWER","CURRENT","TIMESTAMP","VIBRATIONS_XAXIS","ACCEL_SPEED","VIBRATIONS_YAXIS","ACCEL_POWER","RMS_X","RMS_Z","VIBRATIONS_ZAXIS","RMS_Y","VERSION","RUN_QTY","TAG_NUMBER","DESIGN_HEAD","PERF_OPTION","DESIGN_FLOW","PTS","RATED_CURRENT","RATED_SPEED","HARDWARE_VER","PTS_COUNT","SERIAL_NUMBER","FIRMWARE_VER","REATED_POWER","RMSN_X","VIBRATION_N_YAXIS","VIBRATION_N_XAXIS","RMSN_Y","VIBRATION_N_ZAXIS","RMSN_Z","RMS_X_AVG","PWR","HW_VER","DQ","FW_VER"
,pump_de_gen5,"04714B6036B1","5df887b2c5262d001d6735f2",accel,json,2020-12-11-18.03.23.909000,2020-12-11-18.03.23.000000,,,,"04714B603408",,,,,,,,,"3157333836","[-0.1348,-0.1416,-0.0205,-0.2227,-0.1064,-0.1211,-0.0332,0.0762,-0.1416,-0.1953,-0.1455,-0.1055,0.0518,0.0273,0.1602]","[""2646"",""2646"",""2646"",""2646"",""2646""]","[-0.9795,-0.9277,-1.0449,-1.1221,-1.1201,-1.1162,-1.0342,-0.9912,-1.0225,-1.0723,-1.0059,-1.0781,-1.0713,-1.0957,-1.0596]","[""3.169200"",""3.171800"",""3.173000"",""3.177200"",""3.174600""]","[""0.117079"",""0.114380"",""0.117708"",""0.119299"",""0.124987""]","[""0.093775"",""0.099691"",""0.105594"",""0.095596"",""0.105831""]","[-0.0977,-0.0752,0.0264,0.1084,0.0371,0.0908,-0.1563,-0.0449,-0.0439,0.083,-0.0732,-0.0723,0.1895,0.1621,0.0576]","[""1.045317"",""1.044863"",""1.044697"",""1.045051"",""1.045799""]",2.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
,pump_de_gen5,"04714B6036B1","5e21c2cc5ae54a000841e190",accel,json,2020-12-11-18.03.23.909000,2020-12-11-18.03.23.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1186906,,,0.0,
,pump_de_gen5,"04714B6036B1","5df8878de46fea001e0f82cc",data,json,2020-12-11-18.05.22.252000,2020-12-11-18.05.22.000000,2646.0,49.3,70.928,"04714B603408",a,126.031,8192.0,19819.445,283.0,0.0,3.174,7.1,"3157333954",,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
,pump_de_gen5,"04714B6036B1","5df887b2c5262d001d6735f2",accel,json,2020-12-11-18.08.23.936000,2020-12-11-18.08.23.000000,,,,"04714B603408",,,,,,,,,"3157334136","[-0.0332,-0.1553,-0.2021,-0.083,-0.0781,-0.0264,0.1895,-0.0059,0.0537,-0.1016,-0.3125,0.0059,0.0254,-0.0117,0.0313]","[""2646"",""2646"",""2646"",""2646"",""2646""]","[-1.0244,-1.1016,-1.0654,-1.1221,-1.0811,-1.0918,-1.0703,-0.9502,-1.0596,-1.0605,-0.957,-1.0664,-1.1602,-1.0977,-1.2002]","[""3.177200"",""3.176000"",""3.179800"",""3.181400"",""3.180400""]","[""0.123710"",""0.127689"",""0.117817"",""0.118809"",""0.118102""]","[""0.102028"",""0.109943"",""0.105214"",""0.104848"",""0.099725""]","[-0.0381,0.1553,0.0879,-0.1133,0.1211,0.1396,0.0967,-0.1416,-0.1201,0.04,-0.0518,0.0439,-0.0342,0.0762,0.1572]","[""1.046792"",""1.045885"",""1.047496"",""1.047582"",""1.045990""]",2.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
,pump_de_gen5,"04714B6036B1","5df8878de46fea001e0f82cc",data,json,2020-12-11-18.10.22.332000,2020-12-11-18.10.22.000000,2646.0,49.3,70.806,"04714B603408",a,126.352,8192.0,19819.445,283.0,0.0,3.179,7.05,"3157334254",,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
,pump_de_gen5,"04714B6036B1","5e21c2cc5ae54a000841e190",accel,json,2020-12-11-18.08.23.920000,2020-12-11-18.08.23.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1212254,,,0.0,
,pump_de_gen5,"04714B6036B1","5df887b2c5262d001d6735f2",accel,json,2020-12-11-18.13.23.725000,2020-12-11-18.13.23.000000,,,,"04714B603408",,,,,,,,,"3157334436","[0.0322,-0.0801,-0.127,-0.0488,0.0361,0.1201,0.0732,0.0225,-0.0537,-0.2188,-0.1221,-0.1348,-0.0811,0.0654,0.1406]","[""2646"",""2646"",""2646"",""2646"",""2646""]","[-1.0537,-1.0527,-1.0508,-1.0889,-1.1484,-1.0869,-0.9854,-1.0742,-0.9648,-1.1826,-1.0859,-1.042,-1.0908,-0.9033,-1.0127]","[""3.180600"",""3.184200"",""3.184800"",""3.184200"",""3.183600""]","[""0.108039"",""0.114846"",""0.118257"",""0.119826"",""0.123667""]","[""0.094202"",""0.100282"",""0.101346"",""0.106187"",""0.112649""]","[-0.1016,0.0674,-0.1152,0.1523,0.2666,0.0156,-0.1328,-0.1211,-0.1143,0.1094,0.1182,0.0488,-0.085,-0.082,0.125]","[""1.045953"",""1.046213"",""1.044464"",""1.045086"",""1.045895""]",2.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
,pump_de_gen5,"04714B6036B1","5e21c2cc5ae54a000841e190",accel,json,2020-12-11-18.13.23.726000,2020-12-11-18.13.23.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.116927,,,0.0,
,pump_de_gen5,"04714B6036B1","5df8878de46fea001e0f82cc",data,json,2020-12-11-18.15.22.219000,2020-12-11-18.15.22.000000,2646.0,49.2,70.743,"04714B603408",a,126.518,8192.0,19822.609,283.0,0.0,3.183,7.09,"3157334554",,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
,pump_de_gen5,"04714B6036B1","5e21c2cc5ae54a000841e190",accel,json,2020-12-11-18.18.23.884000,2020-12-11-18.18.23.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1199816,,,0.0,
,pump_de_gen5,"04714B6036B1","5e21c2cc5ae54a000841e190",accel,json,2020-12-11-20.48.29.706000,2020-12-11-20.48.29.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1161116,,,0.0,
,pump_de_gen5,"04714B6036B1","5df8878de46fea001e0f82cc",data,json,2020-12-11-20.46.28.584000,2020-12-11-20.46.28.000000,2646.0,49.2,71.566,"04714B603408",a,124.319,8192.0,19828.939,283.0,0.0,3.151,7.02,"3157343620",,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
,pump_de_gen5,"04714B6036B1","5e21c2cc5ae54a000841e190",accel,json,2020-12-11-20.53.29.630000,2020-12-11-20.53.29.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.117193,,,0.0,
,pump_de_gen5,"04714B6036B1","5df8878de46fea001e0f82cc",data,json,2020-12-11-20.51.28.682000,2020-12-11-20.51.28.000000,2646.0,48.8,71.587,"04714B603408",a,124.262,8192.0,19828.939,283.0,0.0,3.152,7.03,"3157343920",,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
,pump_de_gen5,"04714B6036B1","5df887b2c5262d001d6735f2",accel,json,2020-12-11-20.53.29.643000,2020-12-11-20.53.29.000000,,,,"04714B603408",,,,,,,,,"3157344041","[0.002,0.0469,-0.1309,-0.1621,-0.0449,0.0039,-0.0586,0.001,-0.1045,0.0439,0.1182,0.0645,-0.0107,-0.1289,-0.252]","[""2646"",""2646"",""2646"",""2646"",""2646""]","[-1.0127,-1.0684,-1.0117,-0.8789,-1.0361,-1.0693,-1.082,-1.1719,-1.0117,-0.9316,-1.041,-0.9482,-0.9688,-1.0596,-1.0752]","[""3.147200"",""3.149200"",""3.150600"",""3.148400"",""3.155400""]","[""0.113225"",""0.111723"",""0.121500"",""0.119737"",""0.119780""]","[""0.102286"",""0.102589"",""0.115581"",""0.115001"",""0.101919""]","[0.0293,-0.0215,-0.0889,-0.2168,-0.0146,0.1104,0.0283,0.1621,-0.1563,-0.1533,0.1973,-0.1055,-0.0654,0.0547,-0.0518]","[""1.044528"",""1.047999"",""1.047431"",""1.045514"",""1.044396""]",2.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
