"FLOATVALUE","DEVICEID","RCV_TIMESTAMP_UTC"
374.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-07.31.24.676000
246.3773193359375,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-07.31.24.690000
965.0394287109375,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-07.35.25.776000
1.913736343383789,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-07.35.25.776000
2.5,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-07.42.39.996000
1.2999999523162842,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-07.42.39.996000
129.0708770751953,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-07.57.10.403000
136.05313110351562,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-07.57.10.403000
0.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-08.11.01.268000
0.20000000298023224,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-08.11.01.268000
57.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-08.12.56.259000
184.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-08.12.56.259000
1.2999999523162842,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-08.51.32.274000
2.5,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-08.51.32.274000
273.4,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-09.08.53.294000
286.6,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-09.08.53.294000
492.02850341796875,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-09.10.18.646000
503.35906982421875,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-09.10.18.646000
84.03411865234375,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-09.17.06.001000
46.11697769165039,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-09.17.06.001000
0.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-09.28.51.322000
0.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-09.28.51.322000
8.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-09.30.30.389000
16.100000381469727,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-09.30.30.389000
1.2999999523162842,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-09.47.39.283000
2.5,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-09.47.39.283000
95.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-09.49.34.658000
487.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-09.49.34.659000
0.5,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-10.11.22.888000
0.30000001192092896,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-10.11.22.888000
162.49118041992188,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-10.23.16.730000
589.0675659179688,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-10.23.16.730000
33.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-10.24.16.586000
