"TAGID","INTVALUE","FLOATVALUE","STRINGVALUE","DATEVALUE","EVT_NAME","DEVICETYPE","DEVICEID","LOGICALINTERFACE_ID","EVENTTYPE","FORMAT","RCV_TIMESTAMP_UTC","UPDATED_UTC"
639226,0,9.250445365905762,null,null,eu,TagData_Type,"81bad898-7be1-37fb-ae0c-036d49cdcd1f",null,device,JSON,2021-05-01-00.48.09.570000,2021-05-01-00.48.09.570000
639226,0,9.220637321472168,null,null,eu,TagData_Type,"81bad898-7be1-37fb-ae0c-036d49cdcd1f",null,device,JSON,2021-05-02-20.50.39.599000,2021-05-02-20.50.39.599000
639226,0,8.916603088378906,null,null,eu,TagData_Type,"81bad898-7be1-37fb-ae0c-036d49cdcd1f",null,device,JSON,2021-05-01-03.39.07.567000,2021-05-01-03.39.07.567000
639226,0,9.064042091369629,null,null,eu,TagData_Type,"81bad898-7be1-37fb-ae0c-036d49cdcd1f",null,device,JSON,2021-05-01-07.42.09.792000,2021-05-01-07.42.09.792000
639226,0,9.087848663330078,null,null,eu,TagData_Type,"81bad898-7be1-37fb-ae0c-036d49cdcd1f",null,device,JSON,2021-05-03-06.30.53.789000,2021-05-03-06.30.53.789000
639226,0,9.569866180419922,null,null,eu,TagData_Type,"81bad898-7be1-37fb-ae0c-036d49cdcd1f",null,device,JSON,2021-05-03-01.38.06.773000,2021-05-03-01.38.06.773000
639226,0,8.79146957397461,null,null,eu,TagData_Type,"81bad898-7be1-37fb-ae0c-036d49cdcd1f",null,device,JSON,2021-05-02-16.01.04.502000,2021-05-02-16.01.04.502000
639226,0,8.794038772583008,null,null,eu,TagData_Type,"81bad898-7be1-37fb-ae0c-036d49cdcd1f",null,device,JSON,2021-05-03-11.46.25.794000,2021-05-03-11.46.25.794000
639226,0,9.12276840209961,null,null,eu,TagData_Type,"81bad898-7be1-37fb-ae0c-036d49cdcd1f",null,device,JSON,2021-05-03-11.48.29.791000,2021-05-03-11.48.29.791000
639226,0,8.727402687072754,null,null,eu,TagData_Type,"81bad898-7be1-37fb-ae0c-036d49cdcd1f",null,device,JSON,2021-05-04-04.22.50.247000,2021-05-04-04.22.50.247000
