deviceid,floatvalue,timestamp
CakebreadId_0128,38,01/29/2020 02:12,
CakebreadId_0128,37,01/29/2020 02:12,
CakebreadId_0128,38,01/29/2020 02:13,
CakebreadId_0128,35,01/29/2020 02:13,
CakebreadId_0128,31,01/29/2020 02:13,
CakebreadId_0128,38,01/29/2020 02:14,
CakebreadId_0128,37,01/29/2020 02:14,
CakebreadId_0128,35,01/29/2020 02:15,
CakebreadId_0128,28,01/29/2020 02:15,
CakebreadId_0128,38,01/29/2020 02:15,
CakebreadId_0128,37,01/29/2020 02:16,
CakebreadId_0128,35,01/29/2020 02:17,
CakebreadId_0128,30,01/29/2020 02:17,
CakebreadId_0128,38,01/29/2020 02:17,
CakebreadId_0128,37,01/29/2020 02:17,
CakebreadId_0128,38,01/29/2020 02:17,
CakebreadId_0128,37,01/29/2020 02:18,
CakebreadId_0128,35,01/29/2020 02:18,
CakebreadId_0128,30,01/29/2020 02:19,
CakebreadId_0128,38,01/29/2020 02:19,
CakebreadId_0128,37,01/29/2020 02:20,
CakebreadId_0128,31,01/29/2020 02:20,
CakebreadId_0128,38,01/29/2020 02:20,
CakebreadId_0128,37,01/29/2020 02:21,
CakebreadId_0128,35,01/29/2020 02:22,
CakebreadId_0128,30,01/29/2020 02:22,
CakebreadId_0128,38,01/29/2020 02:22,
CakebreadId_0128,37,01/29/2020 02:22,
CakebreadId_0128,38,01/29/2020 02:23,
CakebreadId_0128,34,01/29/2020 02:24,
CakebreadId_0128,29,01/29/2020 02:24,
CakebreadId_0128,38,01/29/2020 02:25,
CakebreadId_0128,37,01/29/2020 02:26,
CakebreadId_0128,33,01/29/2020 02:26,
CakebreadId_0128,38,01/29/2020 02:26,
CakebreadId_0128,34,01/29/2020 02:28,
CakebreadId_0128,35,01/29/2020 02:28,
CakebreadId_0128,38,01/29/2020 02:28,
CakebreadId_0128,37,01/29/2020 02:28,
CakebreadId_0128,38,01/29/2020 02:29,
CakebreadId_0128,37,01/29/2020 02:29,
CakebreadId_0128,38,01/29/2020 02:29,
CakebreadId_0128,34,01/29/2020 02:30,
CakebreadId_0128,29,01/29/2020 02:30,
CakebreadId_0128,38,01/29/2020 02:30,
CakebreadId_0128,34,01/29/2020 02:32,
CakebreadId_0128,31,01/29/2020 02:32,
CakebreadId_0128,38,01/29/2020 02:32,
CakebreadId_0128,37,01/29/2020 02:33,
CakebreadId_0128,35,01/29/2020 02:34,
CakebreadId_0128,33,01/29/2020 02:34,
CakebreadId_0128,38,01/29/2020 02:34,
CakebreadId_0128,37,01/29/2020 02:36,
CakebreadId_0128,35,01/29/2020 02:36,
CakebreadId_0128,29,01/29/2020 02:36,
CakebreadId_0128,38,01/29/2020 02:36,
CakebreadId_0128,37,01/29/2020 02:37,
CakebreadId_0128,34,01/29/2020 02:37,
CakebreadId_0128,28,01/29/2020 02:38,
CakebreadId_0128,38,01/29/2020 02:38,
CakebreadId_0128,37,01/29/2020 02:39,
CakebreadId_0128,38,01/29/2020 02:39,
CakebreadId_0128,36,01/29/2020 02:39,
CakebreadId_0128,33,01/29/2020 02:39,
CakebreadId_0128,38,01/29/2020 02:40,
CakebreadId_0128,37,01/29/2020 02:40,
CakebreadId_0128,38,01/29/2020 02:40,
CakebreadId_0128,37,01/29/2020 02:40,
CakebreadId_0128,33,01/29/2020 02:41,
CakebreadId_0128,38,01/29/2020 02:41,
CakebreadId_0128,39,01/29/2020 02:43,
CakebreadId_0128,38,01/29/2020 02:43,
CakebreadId_0128,40,01/29/2020 02:43,
CakebreadId_0128,38,01/29/2020 02:44,
CakebreadId_0128,35,01/29/2020 02:46,
CakebreadId_0128,33,01/29/2020 02:46,
CakebreadId_0128,38,01/29/2020 02:46,
CakebreadId_0128,40,01/29/2020 02:48,
CakebreadId_0128,42,01/29/2020 02:48,
CakebreadId_0128,40,01/29/2020 02:49,
CakebreadId_0128,37,01/29/2020 02:49,
CakebreadId_0128,35,01/29/2020 02:50,
CakebreadId_0128,32,01/29/2020 02:50,
CakebreadId_0128,36,01/29/2020 02:50,
CakebreadId_0128,38,01/29/2020 02:51,
CakebreadId_0128,33,01/29/2020 02:52,
CakebreadId_0128,23,01/29/2020 02:52,
CakebreadId_0128,34,01/29/2020 02:52,
