"TAGID","INTVALUE","FLOATVALUE","STRINGVALUE","DATEVALUE","EVT_NAME","DEVICETYPE","DEVICEID","LOGICALINTERFACE_ID","EVENTTYPE","FORMAT","RCV_TIMESTAMP_UTC","UPDATED_UTC"
672937,0,8.70145034790039,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-00.12.38.558000,2021-05-01-00.12.38.558000
672937,0,8.685997009277344,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-00.13.19.552000,2021-05-01-00.13.19.552000
672937,0,8.642911911010742,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-00.15.42.551000,2021-05-01-00.15.42.551000
672937,0,8.630912780761719,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-00.16.04.584000,2021-05-01-00.16.04.584000
672937,0,8.592313766479492,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-00.17.19.552000,2021-05-01-00.17.19.552000
672937,0,8.937596321105957,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-03.41.54.554000,2021-05-01-03.41.54.554000
672937,0,9.112534523010254,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-01.36.56.557000,2021-05-01-01.36.56.557000
672937,0,9.099715232849121,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-01.37.05.553000,2021-05-01-01.37.05.553000
672937,0,9.11249828338623,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-01.37.19.553000,2021-05-01-01.37.19.553000
672937,0,9.074647903442383,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-01.39.17.552000,2021-05-01-01.39.17.552000
672937,0,8.71587085723877,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-01.18.31.551000,2021-05-01-01.18.31.551000
672937,0,8.669332504272461,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-01.20.34.553000,2021-05-01-01.20.34.553000
672937,0,8.631553649902344,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-01.22.54.560000,2021-05-01-01.22.54.560000
672937,0,8.728368759155273,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-01.17.50.553000,2021-05-01-01.17.50.553000
672937,0,8.686352729797363,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-01.20.10.552000,2021-05-01-01.20.10.552000
672937,0,8.59163761138916,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-01.24.43.553000,2021-05-01-01.24.43.553000
672937,0,8.576433181762695,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-01.26.06.554000,2021-05-01-01.26.06.554000
672937,0,8.74218463897705,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-03.08.03.554000,2021-05-01-03.08.03.554000
672937,0,8.506857872009277,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-01.30.53.552000,2021-05-01-01.30.53.552000
