groupdId,edgeNodeId,timestamp,seq,metricName,metricTS,dataType,Val,timestamp_date,metricTS_date,SDEV,DELTA,$O-Anomaly,$O-AnomalyIndex,$O-PeerGroup,$O-Field-1,$O-FieldImpact-1,$O-Field-2,$O-FieldImpact-2,$O-Field-3,$O-FieldImpact-3
"Cakebread","RuthNorth",1561748204639,224,"TT_ProdRoom",1561748174636,"Float",69.146810,2019-06-28 18:56:44,2019-06-28 18:56:14,0.013349,0.029860,"F",0.673306,2,"SDEV",0.438969,"DELTA",0.438080,"Val",0.122951
"Cakebread","RuthNorth",1561748144620,222,"TT_ProdRoom",1561748114618,"Float",69.067430,2019-06-28 18:55:44,2019-06-28 18:55:14,0.000469,0.000944,"F",0.673227,2,"SDEV",0.442716,"DELTA",0.442642,"Val",0.114641
"Cakebread","RuthNorth",1561748144620,222,"TT_ProdRoom",1561748119619,"Float",69.066505,2019-06-28 18:55:44,2019-06-28 18:55:19,0.000437,0.000930,"F",0.673180,2,"SDEV",0.442765,"DELTA",0.442678,"Val",0.114557
"Cakebread","RuthNorth",1561748144620,222,"TT_ProdRoom",1561748124621,"Float",69.066246,2019-06-28 18:55:44,2019-06-28 18:55:24,0.000521,0.001184,"F",0.673076,2,"SDEV",0.442787,"DELTA",0.442664,"Val",0.114549
"Cakebread","RuthNorth",1561745671734,140,"TT_ProdRoom",1561745658916,"Float",67.587494,2019-06-28 18:14:31,2019-06-28 18:14:18,0.005237,0.011620,"F",0.673051,2,"SDEV",0.440650,"DELTA",0.439958,"Val",0.119392
"Cakebread","RuthNorth",1561748114612,221,"TT_ProdRoom",1561748099613,"Float",69.067444,2019-06-28 18:55:14,2019-06-28 18:54:59,0.000682,0.001664,"F",0.672993,2,"SDEV",0.442752,"DELTA",0.442566,"Val",0.114682
"Cakebread","RuthNorth",1561748114612,221,"TT_ProdRoom",1561748104615,"Float",69.066810,2019-06-28 18:55:14,2019-06-28 18:55:04,0.000738,0.001664,"F",0.672930,2,"SDEV",0.442763,"DELTA",0.442607,"Val",0.114630
"Cakebread","RuthNorth",1561748114612,221,"TT_ProdRoom",1561748109616,"Float",69.066500,2019-06-28 18:55:14,2019-06-28 18:55:09,0.000745,0.001684,"F",0.672903,2,"SDEV",0.442777,"DELTA",0.442619,"Val",0.114604
"Cakebread","RuthNorth",1561745701749,141,"TT_ProdRoom",1561745673920,"Float",67.597390,2019-06-28 18:15:01,2019-06-28 18:14:33,0.004085,0.009896,"F",0.672891,2,"SDEV",0.441194,"DELTA",0.440425,"Val",0.118380
"Cakebread","RuthNorth",1561748144620,222,"TT_ProdRoom",1561748129622,"Float",69.068440,2019-06-28 18:55:44,2019-06-28 18:55:29,0.000996,0.002194,"F",0.672834,2,"SDEV",0.442687,"DELTA",0.442505,"Val",0.114809
"Cakebread","RuthNorth",1561736422124,38,"TT_ProdRoom",1561736401116,"Float",62.338000,2019-06-28 15:40:22,2019-06-28 15:40:01,0.003051,0.007320,"F",0.672807,1,"Val",0.708786,"DELTA",0.164427,"SDEV",0.126787
"Cakebread","RuthNorth",1561748114612,221,"TT_ProdRoom",1561748084609,"Float",69.067290,2019-06-28 18:55:14,2019-06-28 18:54:44,0.000968,0.002040,"F",0.672799,2,"SDEV",0.442725,"DELTA",0.442575,"Val",0.114700
"Cakebread","RuthNorth",1561745701749,141,"TT_ProdRoom",1561745678921,"Float",67.600240,2019-06-28 18:15:01,2019-06-28 18:14:38,0.004291,0.009060,"F",0.672762,2,"SDEV",0.441196,"DELTA",0.440698,"Val",0.118106
"Cakebread","RuthNorth",1561748114612,221,"TT_ProdRoom",1561748089611,"Float",69.066520,2019-06-28 18:55:14,2019-06-28 18:54:49,0.000942,0.002040,"F",0.672757,2,"SDEV",0.442766,"DELTA",0.442603,"Val",0.114631
"Cakebread","RuthNorth",1561748174631,223,"TT_ProdRoom",1561748169634,"Float",69.137886,2019-06-28 18:56:14,2019-06-28 18:56:09,0.012053,0.028196,"F",0.672681,2,"SDEV",0.439433,"DELTA",0.438483,"Val",0.122085
"Cakebread","RuthNorth",1561745671734,140,"TT_ProdRoom",1561745668919,"Float",67.591180,2019-06-28 18:14:31,2019-06-28 18:14:28,0.005469,0.012080,"F",0.672673,2,"SDEV",0.440815,"DELTA",0.440115,"Val",0.119070
"Cakebread","RuthNorth",1561748084602,220,"TT_ProdRoom",1561748079607,"Float",69.065250,2019-06-28 18:54:44,2019-06-28 18:54:39,0.001027,0.002304,"F",0.672586,2,"SDEV",0.442833,"DELTA",0.442633,"Val",0.114534
"Cakebread","RuthNorth",1561748114612,221,"TT_ProdRoom",1561748094612,"Float",69.068184,2019-06-28 18:55:14,2019-06-28 18:54:54,0.001243,0.002934,"F",0.672576,2,"SDEV",0.442725,"DELTA",0.442448,"Val",0.114827
